,ID,Name,active,Product Type,Sale Price,Cost,Barcode,Description,Sale Description
48,PA_00048,#Flavor Queen Pluot,False,Stockable Product,0.0,0.0,00048_20161111,,Flavor Queen Pluot(28lb)黃恐龍蛋 Produce of U.S.A
49,PA_00049,#Fragrant Pear 3L,False,Stockable Product,0.0,0.0,00049_20161111,,Fragrant Pear 3L 香梨
50,PA_00050,#Fresh Ginseng,False,Stockable Product,0.0,0.0,00050_20161111,,FRESH GINSENG
51,PA_00051,#Fresh Gobo,False,Stockable Product,0.0,,00051_20161111,,Fresh Gobo (22lb) 牛蒡 Produce of Taiwan
52,PA_00052,#Frozen Mangosteen,False,Stockable Product,0.0,0.0,00052_20161111,,Frozen Mangosteen (10lb) 冷凍山竹
53,PA_00053,#FU JI APPLE 72',False,Stockable Product,0.0,0.0,00053_20161111,,FU JI APPLE 72'    富士蘋果 Produce of U.S.A
54,PA_00054,#FU JI APPLE 80',False,Stockable Product,0.0,0.0,00054_20161111,,FU JI APPLE 80CT 蘋果 Produce of U.S.A
55,PA_00055,#FU JI APPLE 88',False,Stockable Product,0.0,0.0,00055_20161111,,FU JI APPLE 88CT    富士蘋果 Produce of U.S.A
56,PA_00056,#FuJi Apple 100',False,Stockable Product,0.0,,00056_20161111,,FUJI APPLE 100'S    富士蘋果 Produce of U.S.A
57,PA_00057,"#Fuji Apple 42""",False,Stockable Product,0.0,0.0,00057_20161111,,"Fuji Apple 42""   富士蘋果 Produce of U.S.A"
58,PA_00058,#Fuji Apple 48',False,Stockable Product,0.0,0.0,00058_20161111,,Fuji Apple 48'   富士蘋果 Produce of U.S.A
59,PA_00059,#FuJi Apple 56',False,Stockable Product,0.0,,00059_20161111,,FU JI APPLE 56'    富士蘋果 Produce of U.S.A
60,PA_00060,#Garlic 3pc,False,Stockable Product,0.0,0.0,00060_20161111,,Garlic 3pc 蒜頭
61,PA_00061,#Garlic 4pc,False,Stockable Product,0.0,0.0,00061_20161111,,Garlic 4pc Produce of china
62,PA_00062,#GINGER JUMBO,False,Stockable Product,0.0,0.0,00062_20161111,,GINGER JUMBO(30LB)
63,PA_00063,#Gingko,False,Stockable Product,0.0,0.0,00063_20161111,,GINGKO (bag) LOOSE 白果
